_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
107,961240,333100,To My Buddy_ Buddy,Fred Lonberg-Holm Trio,0,A Gala Christmas in Vienna,1997.0,,Santa Claus Is Coming to Town,j. fred coots + haven gillespie + sarah brightman + plácido domingo + riccardo cocciante + helmut lotti + gumpoldskirchner spatzen
202,950966,333100,I'll Be There For You/ You're All I Need To Get By,Method Man / Mary J. Blige,0,A Gala Christmas in Vienna,1997.0,,Santa Claus Is Coming to Town,j. fred coots + haven gillespie + sarah brightman + plácido domingo + riccardo cocciante + helmut lotti + gumpoldskirchner spatzen
253,207580,333100,Time to say goodbye (Con te partirè),Andrea Bocelli / Sarah Brightman,0,A Gala Christmas in Vienna,1997.0,,Santa Claus Is Coming to Town,j. fred coots + haven gillespie + sarah brightman + plácido domingo + riccardo cocciante + helmut lotti + gumpoldskirchner spatzen
425,687385,209421,After Mendelssohn (137 Years) / Paint It Black / Arthur's Treat / Talking World War iii Blues / 89-90-91-92,Gavin Bryars / 1/2 Japanese / Simon Jeffes / Mark Perry / Michael Nyman,0,Shaun the Sheep,2007.0,Hide and Squeak (#2.14),Lifes a Treat (instrumental),mark thomas + vic reeves
594,265040,615370,Rabo de nube,Silvio Rodríguez,1995,Silvio Rodríguez  Ojalá,2013.0,,Rabo de nube,silvio rodríguez
654,90188,615370,El Hombre De La Cima,José Luis Rodríguez,0,Silvio Rodríguez  Ojalá,2013.0,,Rabo de nube,silvio rodríguez
1722,912234,627978,Selection: (a) Casimo (b) I Love You (c) You Can Never Blame A Girl For Dreaming (d) Goodbye_ Little Rosebud (e) Wildflower (f) April Blossoms (g) Bambalina (h) Goodbye_ Little Rosebud,The London Theatre Orchestra,0,Standing Ovation,2010.0,,Dancing Girl,edward b. kessel + sandy linzer + michael pericoloso + london clark + erika corvette + ashley cutrona + devon jordan + jeana zettler
1723,582751,627978,Hey Girl (LP Version),Michael McDonald,0,Standing Ovation,2010.0,,Dancing Girl,edward b. kessel + sandy linzer + michael pericoloso + london clark + erika corvette + ashley cutrona + devon jordan + jeana zettler
1738,910903,627978,Lonely Girl,Jon B.,2001,Standing Ovation,2010.0,,Dancing Girl,edward b. kessel + sandy linzer + michael pericoloso + london clark + erika corvette + ashley cutrona + devon jordan + jeana zettler
2003,922902,102023,Can't Believe You Wanna Leave,Little Richard,1957,Great Performances,1971.0,Show Boat (#18.4),Make Believe,jerome kern + richard white + rebecca baxter
2275,958831,216956,I Am Changing,Jennifer Holliday,1996,So You Think You Can Dance,2005.0,Top 10 Perform (#9.11),And I Am Telling You Im Not Going,jennifer holliday + henry krieger + tom eyen
2357,955183,216956,I Do,Jennifer Paige,2008,So You Think You Can Dance,2005.0,Top 10 Perform (#9.11),And I Am Telling You Im Not Going,jennifer holliday + henry krieger + tom eyen
2485,960375,216956,Never Going To Fall In Love...(Again),THE TOM ROBINSON BAND,0,So You Think You Can Dance,2005.0,Top 10 Perform (#9.11),And I Am Telling You Im Not Going,jennifer holliday + henry krieger + tom eyen
2505,808852,216956,And I Am Telling You I'm Not Going,Performed by Jennifer Hudson;Dreamgirls (Motion Picture Soundtrack),0,So You Think You Can Dance,2005.0,Top 10 Perform (#9.11),And I Am Telling You Im Not Going,jennifer holliday + henry krieger + tom eyen
2727,958001,216956,(I Don't Know Why) But I Do,Clarence 'Frogman' Henry,1989,So You Think You Can Dance,2005.0,Top 10 Perform (#9.11),And I Am Telling You Im Not Going,jennifer holliday + henry krieger + tom eyen
2790,874482,1638,Back to the Future Part 3 - Indians,John Debney_ Alan Silvestri_ Royal Scottish National Orchestra,0,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
2820,909290,1638,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
2857,926594,1638,Whatever Gets You Thru The Night (2005 Mix),John Lennon,0,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
2919,276001,1638,I Love You More Every Day,John Mayall,2007,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
