_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
3,393235,661367,Moonlight In The Prairie,Roy Rogers,0,The Gay Ranchero,1948.0,,Waitll I Get My Sunshine Into the Moonlight,harry glick + jimmy lambert + dave olson + roy rogers + jane frazee + the sons of the pioneers,0
42,942143,383034,The Way You Do The Things You Do,Little Richard,0,Callbox 23,2012.0,,My Way,little lemon + tara laura + jesse alonzo + chad harrison + dean truitt,0
48,942143,337771,The Way You Do The Things You Do,Little Richard,0,ATL,2006.0,,Do It to It,rodney richard + john williams + sean paul joseph + farrah king + neosha king + cherish + sean paul + arrangement with sony bmg music entertainment,0
53,942159,59436,Come Let Me Make Your Love Come Down,Stevie Wonder,1987,Dancing with the Stars,2005.0,Week 6: Stevie Wonder Night (#16.11),I Just Called to Say I Love You,stevie wonder,0
68,946004,277490,Move That Thing,The Memphis Jug Band,1995,The Tonight Show with Jay Leno,1992.0,(#19.180),Get Up Offa That Thing,deanna brown + deidra jenkins + yamma brown + the tonight show band,0
73,262236,632027,Untitled 1,Keane,2004,Strangers,2005.0,,Untitled 1,keane,1
84,335980,262180,Rose of Old Mexico,Eddie Jones,0,The Porter Wagoner Show,1961.0,The Willis Brothers (#1.508),I Dreamed of a Hillbilly Heaven,hal sothern + eddie dean + the willis brothers,0
130,877001,119061,A Day In The Life/Give Peace A Chance,Paul McCartney,0,Idool 2007,2007.0,Grote Liveshow 1 - Mijn Idool (#3.11),She Moves in Her Own Way,hugh harris + max rafferty + luke pritchard + paul garred + dean delannoit,0
140,483358,713040,Sunday Bloody Sunday,U2,1980,Vertigo 2005: U2 Live from Chicago,2005.0,,Sunday Bloody Sunday,u2,1
192,934140,19112,Close My Eyes,Sander van Doorn vs Robbie Williams,0,Australian Idol,2003.0,Top 10 Results Show (#3.20),My Generation,pete townshend + dan england + laura gissara + milly edwards + lee harding + roxane lebrasse + anne robertson + daniel spillane + kate dearaugo + james kannis + emily williams,0
194,950527,242257,Suite for Violin and Orchestra in A minor_ Op. 10 (Suite im alten Stil) (1995 Digital Remaster): III.   Tempo giusto,Itzhak Perlman/Pittsburgh Symphony Orchestra/AndrÃ© Previn,0,The Dinah Shore Chevy Show,1956.0,The Dinah Shore Show (#7.8),Lets Fall in Love,ted koehler + harold arlen + dinah shore + bobby darin + andrÃ© previn,0
206,950539,726337,Boy Inside The Man (acoustic version),Tom Cochrane,1997,Wolfen,1981.0,,Jitterbug Boy,tom waits,0
211,57633,629878,My Baby Came Back On The Last Wave Today,The Malibooz,0,Step Into Liquid,2003.0,,Call of the Wave,malibooz,0
215,951754,553761,El dÃ­a feliz,Los Bunkers,0,Nebraska,2013.0,,El Santo Cachon,luis brito lopez + los embajadores vallenatos,0
225,942383,649185,You Can't Stand The Thought Of Another Man Loving Me,Millie Jackson,2008,The Big Hit,1998.0,,Im the Man,joe jackson + buck-o-nine,0
229,958768,232420,Waiting For Daddy / Sam Lowry's Wetter Dream 'The Monoliths Erupt,Michael Kamen,2006,Tatort,1970.0,SalÃ¼ Palu (#1.201),Stop for a minute,michael cretu + klaus hirschburger + sandra,0
230,491826,713749,Riot On Sunset Strip,The Standells,1967,Vietcong,2002.0,,Riot On Sunset Strip,tony valentino + john fleckenstein + the standells,1
235,926014,721433,The Last Emperor - Main Theme,The City of Prague Philharmonic Orchestra,0,Whatever Works,2009.0,,Symphony No. 9 in D Minor  Op. 125 Choral - Molto Vivace,ludwig van beethoven + royal philharmonic orchestra,0
257,934247,149959,We Will Rock You (Live 2000),Queen & Five,0,Match of the Day: Euro 2016,2016.0,Highlights: England vs. Wales/Northern Ireland vs. Ukraine/Germany vs. Poland (#1.19),We Will Rock You,queen,1
258,934247,483674,We Will Rock You (Live 2000),Queen & Five,0,In Lieu of Flowers,2013.0,,Still in Love With You,trent yaconelli + five a.m.,0
264,541044,177622,Intro 2005 Atlantic Recording Corp. Manufactured and Marketed by Warner Strategic Marketing.,Ray Barretto,0,Parenthood,2010.0,Amazing Andy and His Wonderful World of Bugs (#2.16),Love and Permanence,azure ray,0
283,942477,711328,I Get Evil,Pat Benatar,1991,Valley Girl,1983.0,,I La-La-La Love You,pat travers,0
284,957165,29447,Sonata in A minor - Allegretto ben Moderato,Paul Fried  - Mark Kroll,0,Ben et Thomas,2008.0,Ben et Martine (#1.2),Sharper Than Ben,daniel woods + the lovely mark lovely,0
302,803239,345013,Casanova's Got The Blues,Richard Clapton,1976,Along Came Daffy,1947.0,,Aint We Got Fun,richard a. whiting,0
304,909290,1638,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar,0
305,909290,18356,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kÃ¤lberer,0
327,590264,166533,Medley: This Magic Moment / Dance With Me / There Goes My Baby / Save The Last Dance For Me,Ben E. King,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple,0
347,90188,615370,El Hombre De La Cima,JosÃ© Luis RodrÃ­guez,0,Silvio RodrÃ­guez  OjalÃ¡,2013.0,,Rabo de nube,silvio rodrÃ­guez,0
350,90188,432146,El Hombre De La Cima,JosÃ© Luis RodrÃ­guez,0,Escuela para solteras,1965.0,,El desesperado,josÃ© alfredo jimÃ©nez,0
356,958928,628325,Hottest Party In Town (Album Version),My Life With The Thrill Kill Kult,0,Star Trek: Insurrection,1998.0,,Sonata No. 8 in C Minor. Opus 13. PathÃ©tique,ludwig van beethoven + jenÃµ jandÃ³ + piano + arrangement with source q,0
370,344539,699192,Drive My Car,The Ultimate Beatles Cover Band,0,Tommys Hollywood Report,1988.0,,Drive My Car,john lennon + paul mccartney + the beatles,0
380,770549,210964,Breaking and Entering,Brian Tyler,2009,Shindig!,1964.0,(#1.49),Concrete and Clay,tommy moeller + brian parker + eddie rambeau,0
405,950360,478825,Senorita I Love You - Original,Jerry Butler,0,I Dreamed of Africa,2000.0,,Givin It Up For Your Love,jerry lynn williams,0
407,950360,502270,Senorita I Love You - Original,Jerry Butler,0,Kiss Me  Guido,1997.0,,I Am What I Am,jerry herman + gloria gaynor,0
423,786978,726861,Simple Man,Lynyrd Skynyrd,1973,Woodlawn,2015.0,,Simple Man,gary rossington + ronnie van zant + lynyrd skynyrd,1
446,230837,73475,I Believe In Santa Claus,Dolly Parton & Kenny Rogers,0,Dolly,1987.0,(#1.8),I Will Always Love You,dolly parton,0
447,230837,195160,I Believe In Santa Claus,Dolly Parton & Kenny Rogers,0,Revealed,2006.0,Dolly Parton,Do I Ever Cross Your Mind,dolly parton,0
464,916236,91907,Shout,Tears For Fears,1984,French Open Live 2016,2016.0,Day Five (#1.5),Shout,tears for fears,1
479,754254,225570,Star Trek: First Contact- End Title,Jerry Goldsmith,0,Stargate: Atlantis,2004.0,McKay and Mrs. Miller (#3.8),Main Title,joel goldsmith,0
508,107184,258749,Empty House,Phantom Planet,2004,The O.C.,2003.0,The Safe Harbor (#3.11),Our House,phantom planet,0
515,950966,698826,I'll Be There For You/ You're All I Need To Get By,Method Man / Mary J. Blige,0,Tom Sawyer,2000.0,,Friends for Life,mark watters + rhett akins  / mark willis,0
525,836282,553761,Cuando El Hombre Quiere,Los Nemus del Pacifico,0,Nebraska,2013.0,,El Santo Cachon,luis brito lopez + los embajadores vallenatos,0
533,795332,704512,I Believe In Music,Mac Davis,1992,Tumbleweed Trail,1942.0,,What Can I Do?,johnny lange + lew porter + art davis,0
542,959195,336243,I Love You (I Need You),Linda Jones,0,A Thousand Words,2012.0,,Just Wanna Sex You,keith sweat + roy hamilton + anthony jones + arrangement with warner music group film + tv licensing,0
562,942830,560198,In The Summertime ,Mungo Jerry,1970,Nothing Personal,1995.0,,In The Summertime,ray dorset + mungo jerry,1
566,647922,653714,Retirement Community,Kaada,2006,The Commoners,2009.0,,Retirement Community,john erik kaada,1
