_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
515,950966,698826,I'll Be There For You/ You're All I Need To Get By,Method Man / Mary J. Blige,0,Tom Sawyer,2000.0,,Friends for Life,mark watters + rhett akins  / mark willis,0
3584,958039,350917,I Dont Know (Lopazz Remix),Chelonis R. Jones,0,Another Gay Movie,2006.0,,I Was Born This Way,bunny jones + chris spierer + craig c + jimmy somerville,0
5034,917179,726921,As Time Goes By,Dooley Wilson,1990,Woody Allen: A Documentary,2012.0,,As Time Goes By,herman hupfeld + dooley wilson,1
3349,260274,495126,Mozart: Die Entfuhrung aus dem Serail (The Abduction from the Seraglio): Overture,Wolfgang Amadeus Mozart,0,Jumpin Jack Flash,1986.0,,Overture,wolfgang amadeus mozart,0
3347,816164,355747,La Rifa Del Viento,Luis Alberto Spinetta,1983,Aventuras del barbero de Sevilla,1954.0,,Chanson de la montagne,luis mariano + mireille brocey + juan quintero,0
2239,904546,231867,S.O.P. Theme #3: Feelings And Facts,Danny Elfman,0,Tales from the Crypt,1989.0,Horror in the Night (#7.5),Tales from the Crypt Theme,danny elfman,0
2406,107555,250042,Classical Suite - In Memory of Pagan (Part I),Ed Alleyne-Johnson,2001,The Johnny Cash Show,1969.0,(#1.6),Windmills of Your Mind,michel legrand + ed ames,0
1112,714398,379008,A Few Minutes Of Silence (Album Version),Paul Westerberg,1993,BrÃ¼tal Legend,2009.0,,Wheels of Steel,biff byford + paul quinn + graham oliver + steve dawson + pete gill + saxon,0
3860,800585,94157,Mil Pedazos,Jaula de Grillos,0,FÃ­sica o quÃ­mica,2008.0,Autocontrol (#4.11),Mil pedazos,jaula de grillos,1
4168,948620,556551,Skip To My Lou,Old Town School of Folk Music,0,Night at the Museum: Secret of the Tomb,2014.0,,(Ive Had) The Time of My Life,franke previte + john denicola + donald markowitz + bill medley + jennifer warnes + arrangement with sony music licensing,0
3232,897903,379008,Wheels Of Steel (Live At The Hammersmith Odeon) (1997 Digital Remaster),Saxon,0,BrÃ¼tal Legend,2009.0,,Wheels of Steel,biff byford + paul quinn + graham oliver + steve dawson + pete gill + saxon,1
3072,823932,204054,Black Is White,White Heart,0,Scandal,2012.0,Its Good to Be Kink (#4.16),Dr. Feelgood (Love Is a Serious Business),aretha franklin + ted white,0
5045,458441,134778,Whoops Look Out Behind You (Comedy),Eric Idle,0,Late Night with Jimmy Fallon,2009.0,(#3.18),The Best Thing About Me Is You,eric bazilian + andreas carlsson + desmond child + ricky martin,0
