_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
870,132324,578421,Old Friends,Richard Dobson & State Of The Heart,0,Playboy of Paris,1930.0,,In the Heart of Old Paree,richard a. whiting + newell chase,0
1318,378883,54472,Sildavia,La UniÃ³n,1984,CuÃ©ntame,2001.0,Un asunto de familia (#17.5),Sildavia,rafa sÃ¡nchez + ÃÃ±igo zabala + mario martÃ­nez + luis bolÃ­n + la uniÃ³n,1
1694,901632,690781,Lightening Strikes,Lou Christie,0,The Wedding Tackle,2000.0,,Lightenin Strikes,lou christie + kind permission of barry collings entertainments,1
2415,803743,683081,Road Song Medley,Kevin Fowler,0,The Scenesters,2009.0,,The Song Is The Single,barr + brendan fowler,0
4776,957728,52546,Who Love the Rain,David & Steve Gordon,0,Crossing Jordan,2001.0,The Gift of Life (#1.20),No More I Love Yous,joseph hughes + david freeman + annie lennox,0
3867,705069,690754,All I Really Want To Do,Bob Dylan,1964,The Wedding Singer,1998.0,,Thats All,alan brandt + bob haymes + adam sandler,0
5182,745417,532392,Piano Concerto No. 2 in B flat Op. 83 (2008 Digital Remaster): I.       Allegro non troppo,Solomon/Issay Dobroven/Philharmonia Orchestra,0,Man on Wire,2008.0,,In The Hall Of The Mountain King,edvard grieg + philadelphia orchestra,0
3403,930977,316536,This Cocaine Makes Me Feel Like I'm On This Song,System of a Down,2005,Wedding Band,2012.0,I Love College (#1.2),Shut Up and Let Me Go,jules de martino/katie white + mother of the bride,0
1113,714398,488795,A Few Minutes Of Silence (Album Version),Paul Westerberg,1993,J.C.,1972.0,,Fault Of Every Man,paul jarvis + bethany,0
845,779423,726337,Gin Soaked Boy,Tom Waits,1983,Wolfen,1981.0,,Jitterbug Boy,tom waits,0
1482,534735,104334,Un Ange Frappe A Ma Porte,Natasha St-Pier,2006,Guapas,2014.0,Charlas de hombres (#1.26),Un ange frappe Ã  ma porte,natasha st-pier,1
