id,title,artist_name,year
540672,Idol (Hex Hector & Jonathan Peters Club Mix),Amanda Ghost,0
16389,The Voyage To Mordor: Theme from The Lord Of The Rings,Leonard Rosenman,1978
729096,Stolen,Dashboard Confessional,2006
958478,De la musique et du bruit,Babylon Circus,2004
729105,I Don't Wanna Lose You - Original,Oliver Mutukudzi,0
393235,Moonlight In The Prairie,Roy Rogers,0
630804,Oooh Baby,C & C Music Factory,1990
101038,Say (All I Need),OneRepublic,2007
639002,You Don't Bring Me Flowers,Neil Diamond,1977
958491,I Will Turn Your Money Green,Furry Lewis,1929
729116,Where Do I Begin,Perry Como;The Ray Charles Singers,0
655390,Intro - Joy To The World,Brian Culbertson,2006
927007,Yang Guang Zhai Nan,Jay Chou,0
933923,Fandangueiro À Luz Da Lua,José Cid,0
958500,Love Is Just A Dream (Tatazela),Johnny Clegg & Juluka,0
843813,I Got Ti Bad And That Ain't Good,Lena Horne,0
434214,Vice City,Mike Mikhjian,0
614441,Fooled Around and Fell In Love,Bluesmasters Featuring Mickey Thomas,0
802859,Vous Qui Passez Sans Me Voir,Fred Buscaglione,0
426029,Secret Heat,Rye Coalition,2006
958510,I´ve Learned To Walk Alone,Joana Zimmer,2005
942127,From Heaven To Heartache,Bad Boys Blue,0
221233,New Orleans Bump,Jelly Roll Morton,0
879283,The Horror Of Dracula,Dick Jacobs,0
507956,Benzoin Gum + Asafoetida = 10 Years Later,MF DOOM / MF GRIMM,2004
884790,Alles Geld dieser Welt (Remastered Single Version),Michael Holm,0
950327,Make It Happen,Pinball,2005
860217,La Bamba,Ritchie Valens,1958
614458,Disappear,Selena Gomez,2009
958524,Girl of My Dreams,Preservation Hall Jazz Band,1998
696381,And Stones,The Blue Aeroplanes,0
942143,The Way You Do The Things You Do,Little Richard,0
950339,Dead Anyway,Thomas Newman,2005
592567,Bones Theme (Tunebrothers Remix),The Crystal Method,0
942156,Home Sweet Mobile Home,New Duncan Imperials,0
942159,Come Let Me Make Your Love Come Down,Stevie Wonder,1987
458832,Don't Go Breaking My Heart,Elton John / Kiki Dee,1976
950353,Wild Theme,Mark Knopfler,1983
671826,Alfie,Kenny G featuring Burt Bacharach,0
946004,Move That Thing,The Memphis Jug Band,1995
893013,Bang 2 Dis,Onyx,2002
958552,One Way Ticket,Bruce Katz Band,0
958553,It's A Thin Line Between Love & Hate,Donald McCollum,0
958555,Rock Around The Clock,Bill Haley & The Comets,0
262236,Untitled 1,Keane,2004
958557,Main Theme from Total Recall,Orlando Pops Orchestra and Andrew Lane,0
901214,The Guns Of Navarone (Live),The Special AKA,0
327775,Leaether Strip Part 2 (2007 version),Leæther Strip,0
950369,Heart Attack,Eric Burdon,1997
