business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,type,address_num
NmiX_7talK5QTgMKvHPUaQ,Covered Wagon,,9049 E Co Rd B,Hawthorne,WI,54842.0,46.504003,-91.834086,5.0,3,1,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Restaurants', u'American (Traditional)']",,business,9049
QfWFxmXqRGixztgaZN0gOA,Helbachs Coffee House,,410 Donofrio Dr,Madison,WI,53719.0,43.0596333,-89.5135245,4.0,46,1,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: free']","[u'Juice Bars & Smoothies', u'Breakfast & Brunch', u'Salad', u'Restaurants', u'Coffee & Tea', u'Food', u'Sandwiches']","[u'Monday 7:0-17:0', u'Tuesday 7:0-17:0', u'Wednesday 7:0-17:0', u'Thursday 7:0-17:0', u'Friday 7:0-17:0', u'Saturday 8:0-16:0', u'Sunday 9:0-14:0']",business,410
wOZUfs_p_AO1zXGkBcX2Bg,KFC,Eastmorland,604 Cottage Grove Road,Madison,WI,53716.0,43.084,-89.3162,1.5,7,1,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: True', u'DriveThru: True', u'GoodForKids: True', u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: False', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: free']","[u'Restaurants', u'Chicken Wings', u'Fast Food']","[u'Monday 10:30-22:0', u'Tuesday 10:30-22:0', u'Wednesday 10:30-22:0', u'Thursday 10:30-22:0', u'Friday 10:30-22:0', u'Saturday 10:30-22:0', u'Sunday 10:30-22:0']",business,604
mMoOtnrOEKqRrcWJikM9xg,Rocky Rococo Pan Style Pizza - Sun Prairie,,2828 Prairie Lakes Dr,Sun Prairie,WI,53590.0,43.166656,-89.266473,2.5,11,1,"[u'Alcohol: beer_and_wine', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: free']","[u'Pizza', u'Restaurants']","[u'Monday 10:30-22:0', u'Tuesday 10:30-22:0', u'Wednesday 10:30-22:0', u'Thursday 10:30-22:0', u'Friday 10:30-23:0', u'Saturday 10:30-23:0', u'Sunday 11:0-22:0']",business,2828
R8L9VLO5jHfzPA5rHiujIA,Culver's,Elvehjem,4401 Cottage Grove Rd,Madison,WI,53716.0,43.0837436,-89.3078087,3.5,13,1,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'DriveThru: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: free']","[u'Fast Food', u'Restaurants', u'Ice Cream & Frozen Yogurt', u'Burgers', u'Food']","[u'Monday 10:0-22:0', u'Tuesday 10:0-22:0', u'Wednesday 10:0-22:0', u'Thursday 10:0-22:30', u'Friday 10:0-22:30', u'Saturday 10:0-22:30', u'Sunday 10:0-22:0']",business,4401
1qVF1_pSuk88hrTek6bPeg,Ginza of Tokyo,Bluff Acres,4802 E Washington Ave,Madison,WI,53704.0,43.133354,-89.302295,2.5,7,0,"[u'Alcohol: full_bar', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'GoodForKids: False', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: no']","[u'Restaurants', u'Japanese']",,business,4802
gsCOklDm1pbx3Tzo3W-mtw,El Patron Mexican Grill,,1303 W Main St,Sun Prairie,WI,53590.0,43.1793095,-89.2351404,3.0,33,1,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Mexican', u'Restaurants']",,business,1303
aWYWNfHuQJyRwDHaHq8X1w,Tex Tubb's Taco Palace,Williamson - Marquette,2009 Atwood Ave,Madison,WI,53704.0,43.0920977,-89.3547317,3.5,242,1,"[u'Alcohol: full_bar', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", u'BYOB: False', u'BYOBCorkage: yes_free', u'BikeParking: True', u'BusinessAcceptsBitcoin: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'Corkage: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: average', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 2', u'RestaurantsReservations: False', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: free']","[u'Restaurants', u'Mexican', u'Tex-Mex']","[u'Monday 11:0-21:0', u'Tuesday 11:0-21:0', u'Wednesday 11:0-22:0', u'Thursday 11:0-22:0', u'Friday 11:0-23:0', u'Saturday 10:0-23:0', u'Sunday 10:0-21:0']",business,2009
5p5YW_5bMOSuLIQjkJPO3w,Naples 15,Capitol,15 N Butler St,Madison,WI,53703.0,43.0771243,-89.3815107,4.0,135,1,"[u'Alcohol: full_bar', u""Ambience: {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: average', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 3', u'RestaurantsReservations: True', u'RestaurantsTableService: True', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: free']","[u'Italian', u'Restaurants']","[u'Monday 17:0-22:0', u'Tuesday 17:0-22:0', u'Wednesday 17:0-22:0', u'Thursday 17:0-22:0', u'Friday 17:0-23:0', u'Saturday 17:0-23:0']",business,15
gNeiLxkopO1FgN4mjDESsA,Tuvalu Coffehouse & Gallery,,300 S Main St,Verona,WI,53593.0,42.9881087,-89.5337374,4.0,34,1,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", u'Caters: False', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: True', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WheelchairAccessible: True', u'WiFi: free']","[u'Sandwiches', u'Arts & Crafts', u'Coffee & Tea', u'Shopping', u'Restaurants', u'Food']","[u'Monday 6:30-19:0', u'Tuesday 6:30-19:0', u'Wednesday 6:30-19:0', u'Thursday 6:30-19:0', u'Friday 6:30-22:0', u'Saturday 6:30-22:0', u'Sunday 7:30-17:0']",business,300
