R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,address_num
"OrderedDict([(u'res_id', 17501544)])",1719841032c7a280070d7a7a197fd150,17501544,Center Tavern,https://www.zomato.com/madison-wi/center-tavern-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'108 N Water St, Albany, WI 53502'), (u'locality', u'Albany'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'42.7087000000'), (u'longitude', u'-89.4384000000'), (u'zipcode', u'53502'), (u'country_id', 216), (u'locality_verbose', u'Albany, Madison')])",0,Bar Food,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'1')])",https://www.zomato.com/madison-wi/center-tavern-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/center-tavern-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501544,0,https://www.zomato.com/madison-wi/center-tavern-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"108 N Water St, Albany, WI 53502",Albany,Madison,1264,42.7087,-89.4384,53502.0,216,"Albany, Madison",108
"OrderedDict([(u'res_id', 17501545)])",1719841032c7a280070d7a7a197fd150,17501545,Clayt's Corner Bar,https://www.zomato.com/madison-wi/clayts-corner-bar-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'120 N Water St, Albany, WI 53502'), (u'locality', u'Albany'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'42.7086000000'), (u'longitude', u'-89.4384000000'), (u'zipcode', u'53502'), (u'country_id', 216), (u'locality_verbose', u'Albany, Madison')])",0,Bar Food,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'3')])",https://www.zomato.com/madison-wi/clayts-corner-bar-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/clayts-corner-bar-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501545,0,https://www.zomato.com/madison-wi/clayts-corner-bar-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"120 N Water St, Albany, WI 53502",Albany,Madison,1264,42.7086,-89.4384,53502.0,216,"Albany, Madison",120
"OrderedDict([(u'res_id', 17501546)])",1719841032c7a280070d7a7a197fd150,17501546,Edgewater Cafe,https://www.zomato.com/madison-wi/edgewater-cafe-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'101 N Water St, Albany, WI 53502'), (u'locality', u'Albany'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'42.7086000000'), (u'longitude', u'-89.4387000000'), (u'zipcode', u'53502'), (u'country_id', 216), (u'locality_verbose', u'Albany, Madison')])",0,Cafe,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'3')])",https://www.zomato.com/madison-wi/edgewater-cafe-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/edgewater-cafe-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501546,0,https://www.zomato.com/madison-wi/edgewater-cafe-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"101 N Water St, Albany, WI 53502",Albany,Madison,1264,42.7086,-89.4387,53502.0,216,"Albany, Madison",101
"OrderedDict([(u'res_id', 17501549)])",1719841032c7a280070d7a7a197fd150,17501549,R T's Pizzeria,https://www.zomato.com/madison-wi/r-ts-pizzeria-albany?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'102 N Water St, Albany, WI 53502'), (u'locality', u'Albany'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'42.7087000000'), (u'longitude', u'-89.4386000000'), (u'zipcode', u'53502'), (u'country_id', 216), (u'locality_verbose', u'Albany, Madison')])",0,Pizza,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'1')])",https://www.zomato.com/madison-wi/r-ts-pizzeria-albany/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/r-ts-pizzeria-albany/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501549,0,https://www.zomato.com/madison-wi/r-ts-pizzeria-albany/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"102 N Water St, Albany, WI 53502",Albany,Madison,1264,42.7087,-89.4386,53502.0,216,"Albany, Madison",102
"OrderedDict([(u'res_id', 17501554)])",1719841032c7a280070d7a7a197fd150,17501554,Grandma Mary's Cafe,https://www.zomato.com/madison-wi/grandma-marys-cafe-arena?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'216 US Hwy 14, Arena, WI 53503'), (u'locality', u'Arena'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.1614000000'), (u'longitude', u'-89.9081000000'), (u'zipcode', u'53503'), (u'country_id', 216), (u'locality_verbose', u'Arena, Madison')])",0,American,10,1,$,[],,"OrderedDict([(u'aggregate_rating', u'2.9'), (u'rating_text', u'Average'), (u'rating_color', u'FFBA00'), (u'votes', u'7')])",https://www.zomato.com/madison-wi/grandma-marys-cafe-arena/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/grandma-marys-cafe-arena/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501554,0,https://www.zomato.com/madison-wi/grandma-marys-cafe-arena/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"216 US Hwy 14, Arena, WI 53503",Arena,Madison,1264,43.1614,-89.9081,53503.0,216,"Arena, Madison",216
"OrderedDict([(u'res_id', 17501558)])",1719841032c7a280070d7a7a197fd150,17501558,Arlington Inn Tavern,https://www.zomato.com/madison-wi/arlington-inn-tavern-arlington?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'226 Main St, Arlington, WI 53911'), (u'locality', u'Arlington'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.3375000000'), (u'longitude', u'-89.3799000000'), (u'zipcode', u'53911'), (u'country_id', 216), (u'locality_verbose', u'Arlington, Madison')])",0,Bar Food,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'2')])",https://www.zomato.com/madison-wi/arlington-inn-tavern-arlington/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/arlington-inn-tavern-arlington/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501558,0,https://www.zomato.com/madison-wi/arlington-inn-tavern-arlington/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"226 Main St, Arlington, WI 53911",Arlington,Madison,1264,43.3375,-89.3799,53911.0,216,"Arlington, Madison",226
"OrderedDict([(u'res_id', 17501560)])",1719841032c7a280070d7a7a197fd150,17501560,I DO Cakes By Betty,https://www.zomato.com/madison-wi/i-do-cakes-by-betty-arlington?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'N551 Ramsey Rd, Arlington, WI 53911'), (u'locality', u'Arlington'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.2929000000'), (u'longitude', u'-89.3632000000'), (u'zipcode', u'53911'), (u'country_id', 216), (u'locality_verbose', u'Arlington, Madison')])",0,,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'0'), (u'rating_text', u'Not rated'), (u'rating_color', u'CBCBC8'), (u'votes', u'1')])",https://www.zomato.com/madison-wi/i-do-cakes-by-betty-arlington/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/i-do-cakes-by-betty-arlington/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501560,0,https://www.zomato.com/madison-wi/i-do-cakes-by-betty-arlington/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"N551 Ramsey Rd, Arlington, WI 53911",Arlington,Madison,1264,43.2929,-89.3632,53911.0,216,"Arlington, Madison",551
"OrderedDict([(u'res_id', 17501561)])",1719841032c7a280070d7a7a197fd150,17501561,Lockwood's Longshot,https://www.zomato.com/madison-wi/lockwoods-longshot-arlington?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'210 US Hwy 51, Arlington, WI 53911'), (u'locality', u'Arlington'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.3323000000'), (u'longitude', u'-89.3508000000'), (u'zipcode', u'53911'), (u'country_id', 216), (u'locality_verbose', u'Arlington, Madison')])",0,"American, Burger, Bar Food",25,2,$,[],,"OrderedDict([(u'aggregate_rating', u'3.0'), (u'rating_text', u'Average'), (u'rating_color', u'CDD614'), (u'votes', u'13')])",https://www.zomato.com/madison-wi/lockwoods-longshot-arlington/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/lockwoods-longshot-arlington/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501561,0,https://www.zomato.com/madison-wi/lockwoods-longshot-arlington/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"210 US Hwy 51, Arlington, WI 53911",Arlington,Madison,1264,43.3323,-89.3508,53911.0,216,"Arlington, Madison",210
"OrderedDict([(u'res_id', 17501564)])",1719841032c7a280070d7a7a197fd150,17501564,1000 Island,https://www.zomato.com/madison-wi/1000-island-barneveld?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'103 County Road Id, Barneveld, WI 53507'), (u'locality', u'Barneveld'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.0149000000'), (u'longitude', u'-89.8959000000'), (u'zipcode', u'53507'), (u'country_id', 216), (u'locality_verbose', u'Barneveld, Madison')])",0,,0,1,$,[],,"OrderedDict([(u'aggregate_rating', u'3.1'), (u'rating_text', u'Average'), (u'rating_color', u'CDD614'), (u'votes', u'10')])",https://www.zomato.com/madison-wi/1000-island-barneveld/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/1000-island-barneveld/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501564,0,https://www.zomato.com/madison-wi/1000-island-barneveld/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"103 County Road Id, Barneveld, WI 53507",Barneveld,Madison,1264,43.0149,-89.8959,53507.0,216,"Barneveld, Madison",103
"OrderedDict([(u'res_id', 17501566)])",1719841032c7a280070d7a7a197fd150,17501566,Buzz Inn Cafe,https://www.zomato.com/madison-wi/buzz-inn-cafe-barneveld?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"OrderedDict([(u'address', u'207 W Main St, Barneveld, WI 53507'), (u'locality', u'Barneveld'), (u'city', u'Madison'), (u'city_id', 1264), (u'latitude', u'43.0148000000'), (u'longitude', u'-89.8972000000'), (u'zipcode', u'53507'), (u'country_id', 216), (u'locality_verbose', u'Barneveld, Madison')])",0,Breakfast,10,1,$,[],,"OrderedDict([(u'aggregate_rating', u'3.0'), (u'rating_text', u'Average'), (u'rating_color', u'CDD614'), (u'votes', u'9')])",https://www.zomato.com/madison-wi/buzz-inn-cafe-barneveld/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/madison-wi/buzz-inn-cafe-barneveld/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17501566,0,https://www.zomato.com/madison-wi/buzz-inn-cafe-barneveld/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[],"207 W Main St, Barneveld, WI 53507",Barneveld,Madison,1264,43.0148,-89.8972,53507.0,216,"Barneveld, Madison",207
