_id,ltable_business_id,rtable_id,ltable_name2,ltable_address,ltable_address_num,ltable_postal_code,ltable_latitude,ltable_longitude,rtable_name2,rtable_address,rtable_address_num,rtable_zipcode,rtable_latitude,rtable_longitude
34,9BeOKr8DGzDEmdoe-FzQbg,17501545,kennedy manor dining room & bar,"1 Langdon St, Ste 103",1.0,53703.0,43.07836,-89.3897099,clayt's corner bar,"120 N Water St, Albany, WI 53502",120.0,53502.0,42.7086,-89.4384
68,d6VYQbeTZ_WdD8Uuhh35dg,17501545,tempest oyster bar,120 E Wilson St,120.0,53703.0,43.0739300186,-89.3796241524,clayt's corner bar,"120 N Water St, Albany, WI 53502",120.0,53502.0,42.7086,-89.4384
113,qou7HXpSiGdNzSmxhf59XA,17501546,4b cafe,"787 N Main St, Ste 106",787.0,53575.0,42.9383678,-89.3835669,edgewater cafe,"101 N Water St, Albany, WI 53502",101.0,53502.0,42.7086,-89.4387
134,YvXu5t2QiyZeZ8Gxj7ohMg,17501546,bean sprouts cafe,"6719 Frank Lloyd Wright Ave, Ste 101",6719.0,53562.0,43.106913,-89.498128,edgewater cafe,"101 N Water St, Albany, WI 53502",101.0,53502.0,42.7086,-89.4387
167,IXXERocY1bqGwRllcy8J2w,17501546,sophia's bakery & cafe,"831 E Johnson St, Ste 4",831.0,53703.0,43.0838052,-89.3768109,edgewater cafe,"101 N Water St, Albany, WI 53502",101.0,53502.0,42.7086,-89.4387
171,bjgffjRaxLvgh9CJq1xxVg,17501546,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,edgewater cafe,"101 N Water St, Albany, WI 53502",101.0,53502.0,42.7086,-89.4387
198,LXVwq9kk7ThMVxsPtRjbjQ,17501549,zoe's pizzeria,"604 E Main St, Unit 6",604.0,53597.0,43.19139,-89.446031,r t's pizzeria,"102 N Water St, Albany, WI 53502",102.0,53502.0,42.7087,-89.4386
199,q9m74q6V7mNQyeCAa9UD8A,17501549,zoe's pizzeria,"806 S Division St, Ste A",806.0,53597.0,43.185123,-89.446485,r t's pizzeria,"102 N Water St, Albany, WI 53502",102.0,53502.0,42.7087,-89.4386
252,qvqscRWwUmcgDeGimNutQQ,17501554,luke's cafe,6115 Us Hwy 51,6115.0,53558.0,43.0113344,-89.3031296,grandma mary's cafe,"216 US Hwy 14, Arena, WI 53503",216.0,53503.0,43.1614,-89.9081
301,7vf9ldE1dRYvFvu1kr1bOg,17501558,borland's tavern,119 W Main St,119.0,53508.0,42.8596608,-89.5359577,arlington inn tavern,"226 Main St, Arlington, WI 53911",226.0,53911.0,43.3375,-89.3799
302,w53wITixOgDFWld-X1mMng,17501558,main depot tavern,627 W Main St,627.0,53703.0,43.0672802,-89.392125,arlington inn tavern,"226 Main St, Arlington, WI 53911",226.0,53911.0,43.3375,-89.3799
321,qou7HXpSiGdNzSmxhf59XA,17501566,4b cafe,"787 N Main St, Ste 106",787.0,53575.0,42.9383678,-89.3835669,buzz inn cafe,"207 W Main St, Barneveld, WI 53507",207.0,53507.0,43.0148,-89.8972
339,HOCeog5qhTFVTJnHldF8kw,17501566,fink's cafe,204 W Main St,204.0,53572.0,43.008818,-89.740633,buzz inn cafe,"207 W Main St, Barneveld, WI 53507",207.0,53507.0,43.0148,-89.8972
372,bjgffjRaxLvgh9CJq1xxVg,17501566,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,buzz inn cafe,"207 W Main St, Barneveld, WI 53507",207.0,53507.0,43.0148,-89.8972
380,IXXERocY1bqGwRllcy8J2w,17501566,sophia's bakery & cafe,"831 E Johnson St, Ste 4",831.0,53703.0,43.0838052,-89.3768109,buzz inn cafe,"207 W Main St, Barneveld, WI 53507",207.0,53507.0,43.0148,-89.8972
395,8-5X-aC_OKrCeOcAjVSzIA,17501566,tater's cafe and chophouse,135 W Main St,135.0,53589.0,42.916505,-89.220899,buzz inn cafe,"207 W Main St, Barneveld, WI 53507",207.0,53507.0,43.0148,-89.8972
408,qou7HXpSiGdNzSmxhf59XA,17501569,4b cafe,"787 N Main St, Ste 106",787.0,53575.0,42.9383678,-89.3835669,corner cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5324
425,HOCeog5qhTFVTJnHldF8kw,17501569,fink's cafe,204 W Main St,204.0,53572.0,43.008818,-89.740633,corner cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5324
456,bjgffjRaxLvgh9CJq1xxVg,17501569,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,corner cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5324
464,IXXERocY1bqGwRllcy8J2w,17501569,sophia's bakery & cafe,"831 E Johnson St, Ste 4",831.0,53703.0,43.0838052,-89.3768109,corner cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5324
476,8-5X-aC_OKrCeOcAjVSzIA,17501569,tater's cafe and chophouse,135 W Main St,135.0,53589.0,42.916505,-89.220899,corner cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5324
486,qou7HXpSiGdNzSmxhf59XA,17501570,4b cafe,"787 N Main St, Ste 106",787.0,53575.0,42.9383678,-89.3835669,bleoni's cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5346
503,HOCeog5qhTFVTJnHldF8kw,17501570,fink's cafe,204 W Main St,204.0,53572.0,43.008818,-89.740633,bleoni's cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5346
540,IXXERocY1bqGwRllcy8J2w,17501570,sophia's bakery & cafe,"831 E Johnson St, Ste 4",831.0,53703.0,43.0838052,-89.3768109,bleoni's cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5346
544,bjgffjRaxLvgh9CJq1xxVg,17501570,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,bleoni's cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5346
552,8-5X-aC_OKrCeOcAjVSzIA,17501570,tater's cafe and chophouse,135 W Main St,135.0,53589.0,42.916505,-89.220899,bleoni's cafe,"30 W Main St, Belleville, WI 53508",30.0,53508.0,42.8595,-89.5346
554,7vf9ldE1dRYvFvu1kr1bOg,17501571,borland's tavern,119 W Main St,119.0,53508.0,42.8596608,-89.5359577,borland's,"119 W Main St, Belleville, WI 53508",119.0,53508.0,42.8598,-89.5357
562,2vDSveTk2Wyp7XoNHjK1yg,17501572,laz bistro and bar,419 E Main St,419.0,53589.0,42.9166406,-89.215992,j & m bar,"127 W Main St, Belleville, WI 53508",127.0,53508.0,42.8598,-89.5357
563,RCfpKRSP5o04gdzy7Vhnqw,17501572,jodi's bar and grill,1821 Main St,1821.0,53528.0,43.1140164634,-89.6505199,j & m bar,"127 W Main St, Belleville, WI 53508",127.0,53508.0,42.8598,-89.5357
620,1iS-pzwKiNF21UWHl9Rl5g,17501572,macchiatos coffee & wine bar,605 S Main St,605.0,53532.0,43.2416769,-89.3437155,j & m bar,"127 W Main St, Belleville, WI 53508",127.0,53508.0,42.8598,-89.5357
