_id,ltable_business_id,rtable_id,ltable_name,ltable_address,ltable_address_num,ltable_postal_code,ltable_latitude,ltable_longitude,rtable_name,rtable_address,rtable_address_num,rtable_zipcode,rtable_latitude,rtable_longitude,gold_labels
29755,z04viA7AsFfzwT7ABwRLHg,17502743,chipotle mexican grill,4000 University Ave,4000.0,53705.0,43.0758066424,-89.4538423332,vintage spirits & grill,"529 University Ave, Madison, WI 53703",529.0,53703.0,43.0731,-89.3946,0
33658,zv7ApWWtKbu1r_qNK4SFrg,17502844,gino's italian deli,6509 Century Ave,6509.0,53562.0,43.1038884255,-89.4917572933,gino's italian deli,"6509 Century Ave, Middleton, WI 53562",6509.0,53562.0,43.103753,-89.491732,1
52192,uXZ4Of7CV77SmKIjya3y_A,17503445,varsity bar & grill,1205 W Main St,1205.0,53590.0,43.1797865,-89.233109,1855 saloon & grill,"218 S. Main St, Cottage Grove, WI 53527",218.0,53527.0,43.076105,-89.199537,0
46604,uXZ4Of7CV77SmKIjya3y_A,17503251,varsity bar & grill,1205 W Main St,1205.0,53590.0,43.1797865,-89.233109,canopy bar,"1212 Main St, Waterloo, WI 53594",1212.0,53594.0,43.1978,-88.9747,0
8339,NiBzh0kHusvH5rdnpm7yVw,17501878,bandung indonesian restaurant,"600 Williamson St, Ste M",600.0,53703.0,43.076604,-89.3745656,el mariachi mexican restaurant llc,"102 E Madison St Ste B, Lake Mills, WI 53551",102.0,53551.0,43.0814,-88.9114,0
30739,bjgffjRaxLvgh9CJq1xxVg,17502767,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,zuzu cafe,"1336 Drake St, Madison, WI 53715",1336.0,53715.0,43.0622,-89.4084,0
70247,BwWbwhIWfc9A0fPShp-WmA,17504114,oliver's public house,2540 University Ave,2540.0,53705.0,43.0725542026,-89.4300975757,oliver's public house,"2540 University Ave, Madison, WI 53705",2540.0,53705.0,43.0724609,-89.4301567,1
15801,mzq_UgBRWsxTjb7oBNajWA,17502235,great dane pub & brewing,357 Price Pl,357.0,53705.0,43.0711419,-89.4523269,great dane pub & brewery,"357 Price Pl, Madison, WI 53705",357.0,53705.0,43.0705,-89.4522,1
59705,NMXig2HCB_sa0E1OCZj-KA,17503737,elie's family restaurant and banquet,4102 Monona Dr,4102.0,53716.0,43.079131,-89.323261,elie's family restaurant,"4102 Monona Dr., Monona, WI 53716",4102.0,53716.0,43.0787676,-89.3245434,1
9997,9BeOKr8DGzDEmdoe-FzQbg,17501965,kennedy manor dining room & bar,"1 Langdon St, Ste 103",1.0,53703.0,43.07836,-89.3897099,badgerland bar & grill,"525 W Johnson St, Madison, WI 53703",525.0,53703.0,43.0719,-89.3944,0
