_id,ltable_business_id,rtable_id,ltable_name,ltable_address,ltable_address_num,ltable_postal_code,ltable_latitude,ltable_longitude,rtable_name,rtable_address,rtable_address_num,rtable_zipcode,rtable_latitude,rtable_longitude,gold_labels
35280,biQlddhmaimJ9KRVi_s_1g,17502888,three sisters old town inn,2227 Parmenter St,2227.0,53562.0,43.0999215,-89.5111795,three sisters' inn,"2227 Parmenter St, Middleton, WI 53562",2227.0,53562.0,43.0996449,-89.5114569,1
68355,bjgffjRaxLvgh9CJq1xxVg,17504054,blue spoon cafe,"2831 Parmenter St, Ste 140",2831.0,53562.0,43.1054335,-89.5106336,main street cafe,"5 W Main St, Evansville, WI 53536",5.0,53536.0,42.78034,-89.2993,0
31286,1iS-pzwKiNF21UWHl9Rl5g,17502776,macchiatos coffee & wine bar,605 S Main St,605.0,53532.0,43.2416769,-89.3437155,silver fox bar,"118 E Main St, Marshall, WI 53559",118.0,53559.0,43.1671,-89.0635,0
10222,cCBySJPR4i7WFfEt8gjArg,17501972,bahn thai restaurant,944 Williamson St,944.0,53703.0,43.0806833,-89.3684867,bandung indonesian restaurant,"600 Williamson St, Madison, WI 53703",600.0,53703.0,43.0763,-89.3756,0
33496,QAVeDSZsoViw8V2gAewfbg,17502834,cosi,8310 Greenway Blvd,8310.0,53562.0,43.0907846895,-89.5255461719,cosi,"8310 Greenway Blvd Ste 106, Middleton, WI 53562",8310.0,53562.0,43.0903,-89.525,1
17245,VgGO13Fx7dQj4zg3IuVDLw,17502302,blue moon bar & grill,2535 University Ave,2535.0,53705.0,43.0721453,-89.4296808,johnny o's restaurant & bar,"622 University Ave, Madison, WI 53715",622.0,53715.0,43.0733,-89.3969,0
47222,4ZalERS8GVHK_1ULa86rMQ,17503281,rex's innkeeper,301 N Century Ave,301.0,53597.0,43.194426,-89.462358,rex's innkeeper,"301 N Century Ave, Waunakee, WI 53597",301.0,53597.0,43.194,-89.462,1
53821,jzr6jW5cQ0jpPhEo4kGMBw,17503512,longhorn steakhouse,418 S Gammon Rd,418.0,53719.0,43.0594110063,-89.5035026245,longhorn steakhouse,"418 South Gammon Road, Madison, WI 53719",418.0,53719.0,43.058867,-89.503097,1
25821,84WYW7OfV-IXUJk95EL5_Q,17502546,samba brazilian grill,"240 W Gilman St, Fl 2",240.0,53703.0,43.07546,-89.393063,qdoba mexican grill,"548 State St, Madison, WI 53703",548.0,53703.0,43.0749,-89.3945,0
36722,6Qpo9mVLl60gu-ajJvcBLQ,17502944,happy wok,2409 W Broadway,2409.0,53713.0,43.044919,-89.349625,happy wok,"2409 W Broadway, Monona, WI 53713",2409.0,53713.0,43.0464,-89.351,1
3197,FuVGP7x3pib95GGrN8irew,17501683,pizza pit,1060 W Main St,1060.0,53589.0,42.918072,-89.233059,pizza hut,"633 S Main St, De Forest, WI 53532",633.0,53532.0,43.2414,-89.3435,0
28388,cRDEkJWuXpKzuSYUpmyX5w,17502663,subway,6602 Mineral Point Rd,6602.0,53705.0,43.061398,-89.495884,subway,"N High Point Rd AT Old Sauk Rd, Madison, WI 53717",53717.0,53717.0,43.075,-89.5186,0
58368,cf0LXwdYZ_9y0BVK-un9ow,17503692,francisco's mexican cantina,121 E Main St,121.0,53703.0,43.0750544,-89.3810002,francisco's cantina,"121 E Main St, Madison, WI 53703",121.0,53703.0,43.074719,-89.381592,1
32655,5knOqCWniwFbDlznijP3bQ,17502806,little caesars pizza,1334 W Main St,1334.0,53590.0,43.1794029,-89.2363971,spartan pizza,"5813 Main St, Mc Farland, WI 53558",5813.0,53558.0,43.0146,-89.2887,0
69524,QwGV_v3s9eOMzfWrFLUf6A,17504085,whole foods market,3313 University Ave,3313.0,53705.0,43.0747957,-89.4441049,badger market in medical sciences,"1300 University Ave, Madison, WI 53706",1300.0,53706.0,43.0738059,-89.4073698,0
75521,NlzU1RxfXaWF6ir-ZWfrLg,18224280,madison cuisine,785 University Ave,785.0,53715.0,43.0730148,-89.3984019,madison cuisine,"785 University Ave Madison, WI 53718",785.0,53718.0,43.0730458945,-89.3983801338,1
10479,ToNd6fEn_SvcQc1Fulsidg,17501989,milio's sandwiches,4292 E Towne Blvd,4292.0,53704.0,43.1258907,-89.3103284,milio's,"4292 E Towne Blvd, Madison, WI 53704",4292.0,53704.0,43.1251,-89.3094,1
64498,wEisic-u9Yj543iYzfpAhw,17503925,la mestiza,6644 Odana Rd,6644.0,53719.0,43.056038,-89.4941951,la michoacana,"6712 Odana Road, Madison, WI 53719",6712.0,53719.0,43.0566445,-89.4974411,0
6196,HfQm-rq78QfSeJmm0i1I9Q,17501796,qdoba mexican eats,5401 Caddis Bend Rd,5401.0,53711.0,43.0192212688,-89.4200205803,qdoba mexican grill,"5401 Caddis Bnd, Fitchburg, WI 53711",5401.0,53711.0,43.0193,-89.4197,1
17665,9BeOKr8DGzDEmdoe-FzQbg,17502318,kennedy manor dining room & bar,"1 Langdon St, Ste 103",1.0,53703.0,43.07836,-89.3897099,kennedy manor dining room & br,"1 Langdon St Ste 1, Madison, WI 53703",1.0,53703.0,43.0786,-89.3896,1
41987,Xu6mEU7IbKlWic1ETgUOeA,17503079,nadia's restaurant & grapevine lounge,508 State St,508.0,53703.0,43.0751832,-89.3936346,arboretum lounge,"7888 State Road 188, Sauk City, WI 53583",7888.0,53583.0,43.2874,-89.71,0
17562,qnuBmj3lL_S_QQOmTI9cfw,17502314,orpheum lobby restaurant,216 State St,216.0,53703.0,43.0748942,-89.3886553,kabul afghanistan restaurant,"540 State St, Madison, WI 53703",540.0,53703.0,43.0747,-89.3943,0
60376,lw_vRdg4qUprQEgWDG6czQ,17503763,hooters,2639 E Springs Dr,2639.0,53704.0,43.1320765,-89.3015005,hooters,"2639 E Springs Drive, Madison, WI 53704",2639.0,53704.0,43.131951,-89.301399,1
69392,IXXERocY1bqGwRllcy8J2w,17504081,sophia's bakery & cafe,"831 E Johnson St, Ste 4",831.0,53703.0,43.0838052,-89.3768109,open book cafe,"600 N Park St, Madison, WI 53706",600.0,53706.0,43.0767057,-89.4010609,0
48478,hwjbr0Qskx_qWqx1de5gTg,17503317,pizza pit,611 S Main St,611.0,53532.0,43.2414099,-89.3437115,pizza pit extreme,"128 S Main St, Jefferson, WI 53549",128.0,53549.0,43.005,-88.8071,0
28682,NiBzh0kHusvH5rdnpm7yVw,17502685,bandung indonesian restaurant,"600 Williamson St, Ste M",600.0,53703.0,43.076604,-89.3745656,taj indian restaurant,"1256 S Park St, Madison, WI 53715",1256.0,53715.0,43.0533,-89.3963,0
71370,X0siHN0KchBjGKn9QsEAFg,17797198,vintage spirits & grill,529 University Ave,529.0,53703.0,43.0729361,-89.3954456,chipotle mexican grill,"4000 University Ave, Madison, WI 53705",4000.0,53705.0,43.0757141,-89.4538486,0
3528,xIYTia1c4IUFxIQlBItasA,17501692,aztlan mexican grill,407 W Main St,407.0,53572.0,43.007059,-89.746169,deerfield pub & grill,"15 N Main St, Deerfield, WI 53531",15.0,53531.0,43.053,-89.0755,0
25085,4BfmLcy9iMJSsFFKzyIfKQ,17502524,pizza hut,300 N Century Ave,300.0,53597.0,43.1936968,-89.4617636,pizza pit,"1860 E Washington Ave Ste C3, Madison, WI 53704",1860.0,53704.0,43.0915,-89.3605,0
2076,yfvldEvsIfzcvWqmU8un3w,17501642,heritage bakery & cafe,4674 Cottage Grove Rd,4674.0,53716.0,43.0843503,-89.2998239,village cafe,"214 W Cottage Grove Rd, Cottage Grove, WI 53527",214.0,53527.0,43.0866,-89.2021,0
60047,6nLuU3av6aQiLVXHNWLbew,17503758,sugar river pizza,"1019 River St, Ste 5",1019.0,53508.0,42.8753193,-89.5329802,famous yeti's pizza,"971 N Page St, Stoughton, WI 53589",971.0,53589.0,42.9266576,-89.2225748,0
19026,b_PiGpk0PZyBpckb1TFITg,17502359,madison sourdough patisserie,916 Williamson St,916.0,53703.0,43.0800604,-89.3694798,madison sourdough company,"916 Williamson St, Madison, WI 53703",916.0,53703.0,43.079858,-89.369433,1
50429,WvuBDIZTmQGfoTAgW-pNPw,17503380,hop's house eatery & pub,209 E Main St,209.0,53572.0,43.0083371,-89.7377101,mojo's sports pub & grill,"111 W Main St, Waunakee, WI 53597",111.0,53597.0,43.192042,-89.455413,0
7838,A9rIqoqp5OO_56w82PiHEA,17501854,pizza ranch,682 S Grand Ave,682.0,53590.0,43.1710665848,-89.2660852253,pizza villa,"109 Sherman Ave W, Fort Atkinson, WI 53538",109.0,53538.0,42.92956,-88.839345,0
25729,kWItkhjHRuzfC11CP1E0ZQ,17502545,lalo's mexican restaurant,5510 University Ave,5510.0,53705.0,43.0831080044,-89.4756475836,qdoba mexican grill,"2741 University Ave, Madison, WI 53705",2741.0,53705.0,43.0736,-89.4349,0
24821,YsxyAYrg2LdMvf7nhp39Ow,17502521,dahmen's pizza place,6654 Mineral Point Rd,6654.0,53705.0,43.0609491,-89.4968068,pizza hut,"7440 Mineral Point Rd, Madison, WI 53717",7440.0,53717.0,43.0608,-89.5111,0
66861,mMoOtnrOEKqRrcWJikM9xg,17503994,rocky rococo pan style pizza - sun prairie,2828 Prairie Lakes Dr,2828.0,53590.0,43.166656,-89.266473,godfather's pizza,"103 Prairie Oaks Drive, Verona, WI 53593",103.0,53593.0,43.003385,-89.532736,0
16630,vahVdHsH5HjThT0Sa2mThQ,17502269,wilson's bar,2144 Atwood Ave,2144.0,53704.0,43.093214,-89.350403,ideal bar,"1968 Atwood Ave, Madison, WI 53704",1968.0,53704.0,43.092,-89.3559,0
25080,iNphZPJ8kjvjUvWK7zXkSA,17502524,domino's pizza,6915 University Ave,6915.0,53562.0,43.0969955,-89.5008508,pizza pit,"1860 E Washington Ave Ste C3, Madison, WI 53704",1860.0,53704.0,43.0915,-89.3605,0
10312,5paKcA2AAguJgZYBkr-I7A,17501976,cargo coffee east,750 E  Washington,750.0,53704.0,43.0806001659,-89.3760845032,barriques coffee,"127 W Washington Ave, Madison, WI 53703",127.0,53703.0,43.0736,-89.3854,0
